id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_365,number_of_reviews,availability_eoy,estimated_occupancy_l365d,review_scores_rating,review_scores_communication,review_scores_location,instant_bookable,calculated_host_listings_count,amenities_number,number_of_private_bathrooms,number_of_shared_bathrooms,estimated_response_time_hours,host_response_time:a few days or more,host_response_time:within a day,host_response_time:within a few hours,host_response_time:within an hour,neighbourhood_cleansed:Ang Mo Kio,neighbourhood_cleansed:Bedok,neighbourhood_cleansed:Bishan,neighbourhood_cleansed:Bukit Batok,neighbourhood_cleansed:Bukit Merah,neighbourhood_cleansed:Bukit Panjang,neighbourhood_cleansed:Bukit Timah,neighbourhood_cleansed:Central Water Catchment,neighbourhood_cleansed:Changi,neighbourhood_cleansed:Choa Chu Kang,neighbourhood_cleansed:Clementi,neighbourhood_cleansed:Downtown Core,neighbourhood_cleansed:Geylang,neighbourhood_cleansed:Hougang,neighbourhood_cleansed:Jurong East,neighbourhood_cleansed:Jurong West,neighbourhood_cleansed:Kallang,neighbourhood_cleansed:Marina South,neighbourhood_cleansed:Marine Parade,neighbourhood_cleansed:Museum,neighbourhood_cleansed:Newton,neighbourhood_cleansed:Novena,neighbourhood_cleansed:Orchard,neighbourhood_cleansed:Outram,neighbourhood_cleansed:Pasir Ris,neighbourhood_cleansed:Punggol,neighbourhood_cleansed:Queenstown,neighbourhood_cleansed:River Valley,neighbourhood_cleansed:Rochor,neighbourhood_cleansed:Sembawang,neighbourhood_cleansed:Sengkang,neighbourhood_cleansed:Serangoon,neighbourhood_cleansed:Singapore River,neighbourhood_cleansed:Southern Islands,neighbourhood_cleansed:Tampines,neighbourhood_cleansed:Tanglin,neighbourhood_cleansed:Toa Payoh,neighbourhood_cleansed:Western Water Catchment,neighbourhood_cleansed:Woodlands,neighbourhood_cleansed:Yishun,neighbourhood_group_cleansed:Central Region,neighbourhood_group_cleansed:East Region,neighbourhood_group_cleansed:North Region,neighbourhood_group_cleansed:North-East Region,neighbourhood_group_cleansed:West Region,property_type:Boat,property_type:Entire condo,property_type:Entire guest suite,property_type:Entire guesthouse,property_type:Entire home,property_type:Entire loft,property_type:Entire rental unit,property_type:Entire serviced apartment,property_type:Entire townhouse,property_type:Private room,property_type:Private room in barn,property_type:Private room in bed and breakfast,property_type:Private room in bungalow,property_type:Private room in casa particular,property_type:Private room in castle,property_type:Private room in condo,property_type:Private room in earthen home,property_type:Private room in guest suite,property_type:Private room in guesthouse,property_type:Private room in home,property_type:Private room in hostel,property_type:Private room in loft,property_type:Private room in rental unit,property_type:Private room in serviced apartment,property_type:Private room in townhouse,property_type:Private room in train,property_type:Private room in vacation home,property_type:Private room in villa,property_type:Room in aparthotel,property_type:Room in boutique hotel,property_type:Room in hostel,property_type:Room in hotel,property_type:Room in serviced apartment,property_type:Shared room in bed and breakfast,property_type:Shared room in boutique hotel,property_type:Shared room in dome,property_type:Shared room in guesthouse,property_type:Shared room in hostel,property_type:Shared room in hotel,property_type:Shared room in rental unit,property_type:Tiny home,room_type:Entire home/apt,room_type:Hotel room,room_type:Private room,room_type:Shared room
815685,1439258,1.0,0.99,False,88,True,True,1.29065,103.80941,1,2.0,1.0,1.0,67.0,180,999,180.0,180.0,1125.0,1125.0,180.0,1125.0,0,16,0,0,4.13,4.44,4.25,True,49,28,0.0,2.0,1.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
833289,4360831,0.7979322638146167,0.7049006010171058,False,3,True,True,1.27716,103.82299,2,1.0,1.0,2.0,172.0,730,1125,730.0,730.0,1125.0,1125.0,730.0,1125.0,365,2,95,0,5.0,5.0,5.0,False,1,1,1.0,0.0,14.3373440285205,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
881253,2413412,0.89,0.67,False,182,True,True,1.28485,103.84317,1,1.0,1.0,1.0,76.0,92,1124,92.0,92.0,1125.0,1125.0,92.0,1125.0,362,3,92,0,4.0,4.67,4.67,True,91,30,1.0,0.0,12.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
904378,4837194,1.0,0.0,False,2,True,True,1.30046,103.82786,2,1.0,1.0,1.0,222.0,92,120,92.0,92.0,120.0,120.0,92.0,120.0,347,34,77,0,4.71,4.94,4.76,False,1,67,1.0,0.0,24.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
962594,2413412,0.89,0.67,False,182,True,True,1.30663,103.86243,1,1.0,1.0,1.0,82.0,92,365,92.0,92.0,365.0,365.0,92.0,365.0,362,2,92,0,5.0,5.0,5.0,True,91,30,1.0,0.0,12.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
982909,4723385,0.7979322638146167,0.0,False,1,True,True,1.33389,103.83454,1,1.0,1.0,1.0,85.0,92,180,92.0,92.0,180.0,180.0,92.0,180.0,268,247,93,0,4.87,4.92,4.78,False,1,55,1.0,0.0,14.3373440285205,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1242205,3589987,0.7979322638146167,0.7049006010171058,False,5,True,True,1.30907,103.9018,6,4.5,3.0,3.0,549.0,92,1125,92.0,92.0,1125.0,1125.0,92.0,1125.0,270,8,95,0,4.75,4.88,4.63,False,1,27,4.5,0.0,14.3373440285205,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1261443,2413412,0.89,0.67,False,182,True,True,1.28458,103.84311,1,1.0,1.0,1.0,76.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,362,2,92,0,5.0,5.0,5.0,True,91,30,1.0,0.0,12.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1363204,2413412,0.89,0.67,False,182,True,True,1.28386,103.84238,1,1.0,1.0,1.0,66.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,362,3,92,0,4.0,4.67,5.0,True,91,28,1.0,0.0,12.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1495386,7993224,0.0,0.7049006010171058,False,2,True,True,1.37975,103.94375,2,1.0,1.0,1.0,58.0,92,1125,92.0,92.0,1125.0,1125.0,92.0,1125.0,365,10,95,0,4.7,5.0,4.3,False,1,34,1.0,0.0,48.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1508829,2413412,0.89,0.67,False,182,True,True,1.3072,103.86359,1,3.0,1.0,1.0,57.0,92,365,92.0,92.0,365.0,365.0,92.0,365.0,362,7,92,0,4.14,4.57,4.83,True,91,26,0.0,3.0,12.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1581224,8408341,0.7979322638146167,0.7049006010171058,False,2,True,True,1.31108,103.87374,8,4.0,4.0,1.0,135.0,96,100,96.0,96.0,1125.0,1125.0,96.0,1125.0,365,0,95,0,4.275438734647034,3.7979322638146167,4.752945205479452,False,1,16,4.0,0.0,14.3373440285205,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1615074,2413412,0.89,0.67,False,182,True,True,1.2841,103.84253,1,1.5,1.0,1.0,61.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,362,5,92,0,4.4,5.0,4.8,True,91,30,1.5,0.0,12.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1710048,8948251,0.6,1.0,False,126,True,True,1.28466,103.84255,1,1.0,1.0,1.0,66.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,362,0,92,0,4.211898734177215,3.6,4.82379746835443,True,73,27,1.0,0.0,24.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1719704,2413412,0.89,0.67,False,182,True,True,1.2841,103.84253,1,1.0,1.0,1.0,66.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,362,3,92,0,4.0,4.67,4.67,True,91,27,1.0,0.0,12.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1928296,5092893,0.7979322638146167,0.7049006010171058,False,8,True,True,1.37291,103.82978,1,1.0,1.0,1.0,212.0,100,1125,100.0,100.0,1125.0,1125.0,100.0,1125.0,365,79,95,0,4.57,4.66,4.35,True,3,20,0.0,1.0,14.3373440285205,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1941719,3926646,0.0,0.7049006010171058,False,7,True,True,1.27525,103.84524,4,1.0,1.0,1.0,153.0,92,1123,92.0,92.0,1123.0,1123.0,92.0,1123.0,358,73,88,0,4.51,4.67,4.85,True,4,42,0.0,1.0,48.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2129215,7642747,1.0,0.7049006010171058,False,5,True,True,1.31936,103.91663,5,1.0,1.0,3.0,255.0,92,700,92.0,92.0,700.0,700.0,92.0,700.0,362,369,92,0,4.93,4.95,4.8,False,1,33,1.0,0.0,12.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2156372,6157422,1.0,1.0,False,2,True,True,1.36722,103.89765,1,1.5,1.0,1.0,65.0,92,730,92.0,92.0,730.0,730.0,92.0,730.0,364,17,94,184,4.76,4.88,4.06,False,2,45,0.0,1.5,12.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2547778,8948251,0.6,1.0,False,126,True,True,1.31117,103.86214,1,3.0,1.0,1.0,47.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,362,1,92,0,4.0,5.0,5.0,True,73,27,0.0,3.0,24.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2922184,1439258,1.0,0.99,False,88,True,True,1.2805,103.78439,1,1.0,1.0,1.0,50.0,90,999,90.0,90.0,1125.0,1125.0,90.0,1125.0,146,18,0,0,4.28,4.39,4.28,False,49,41,0.0,1.0,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3034137,4422603,0.7979322638146167,0.7049006010171058,False,3,True,True,1.35956,103.88423,1,1.0,1.0,1.0,93.0,92,1125,92.0,92.0,1125.0,1125.0,92.0,1125.0,362,9,92,0,4.89,5.0,5.0,False,1,18,1.0,0.0,14.3373440285205,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3304326,16689958,0.7979322638146167,0.7049006010171058,False,1,True,True,1.34972,103.96201,1,1.0,1.0,1.0,85.0,92,1125,92.0,92.0,1125.0,1125.0,92.0,1125.0,362,8,92,0,4.75,4.88,4.88,True,1,19,1.0,0.0,14.3373440285205,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
